ArtistName,album,album_id,artist_id,track,track_id
Taylor Swift,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,06HL4z0CvFAxyc27GXpf02,Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m
Post Malone,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,246dkjvS1zLTtiykXe5h60,Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m
Ariana Grande,eternal sunshine,5EYKrEDnKhhcNxGedaRQeK,66CXWjxzNUsdJxJ2JdwvnR,we can't be friends (wait for your love),51ZQ1vr10ffzbwIjDCwqm4
Rvssian,Santa,3uzutRS5qX4ng5Skjh5S6W,1fctva4kpRbg2k3v7kwRuS,Santa,6a9Z1jUms915w4O7N1PxjY
Rauw Alejandro,Santa,3uzutRS5qX4ng5Skjh5S6W,1mcTU81TzQhprhouKaTkpq,Santa,6a9Z1jUms915w4O7N1PxjY
Ayra Starr,Santa,3uzutRS5qX4ng5Skjh5S6W,3ZpEKRjHaHANcpk10u6Ntq,Santa,6a9Z1jUms915w4O7N1PxjY
Djo,DECIDE,4JDXBZdRPId4devseaAOKH,5p9HO3XC5P3BLxJs5Mtrhm,End of Beginning,3qhlB30KknSejmIvZZLjOD
