ArtistName,album,album_id,artist_id,track,track_id
Billie Eilish,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH,LUNCH,629DixmZGHc7ILtEntuiWE
Tommy Richman,MILLION DOLLAR BABY,52TwRwdTUMtkpglbOE5IRz,1WaFQSHVGZQJTbf0BdxdNo,MILLION DOLLAR BABY,7fzHQizxTqy8wTXwlrgPQQ
Sabrina Carpenter,Espresso,5quMTd5zeI9yW5UDua8wS4,74KM79TiuVKeVCqs8QtB0B,Espresso,2qSkIjg1o9h3YT9RAgYN75
Kendrick Lamar,Not Like Us,5JjnoGJyOxfSZUZtk2rRwZ,2YZyLoL8N0Wb9xBt1NhZWg,Not Like Us,6AI3ezQ4o3HUoP6Dhudph3
Billie Eilish,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH,CHIHIRO,7BRD7x5pt8Lqa1eGYC4dzj
Billie Eilish,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH,BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB
Post Malone,I Had Some Help,1woYXxyyxTQJ0E0AhZE6mj,246dkjvS1zLTtiykXe5h60,I Had Some Help (Feat. Morgan Wallen),7221xIgOnuakPdLqT0F3nP
