ArtistName,album,album_id,artist_id,track,track_id
Harry Styles,Harry's House,5r36AJ6VOJtp00oxSkBZ5h,6KImCVD70vtIoJWnq6nGn3,As It Was,4Dvkj6JhhA12EX05fT7y2e
Feid,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,2LRoIwlKmHjgvigdNGBHNo,LUNA,7bywjHOc0wSjGGbj04XbVi
ATL Jacob,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,7jAs1uPnpfNmT6e5qtEPxq,LUNA,7bywjHOc0wSjGGbj04XbVi
Tate McRae,greedy,3UOV8XvCwMKaATRNXrYCjN,45dkTj5sMRSjrmBSBeiHym,greedy,3rUGC1vUpkDG9CZFHMur1t
Benson Boone,Fireworks & Rollerblades,168CdR21lfn0TTyw1Pkdcm,22wbnEMDvgVIAGdFeek6ET,Slow It Down,51eSHglvG1RJXtL3qI5trr
Natanael Cano,Madonna,0QZVRL2HC24voXfxWmpHvd,0elWFr7TW8piilVRYJUe4P,Madonna,5LhI8m7n8xlQmNe3b7Rwis
Oscar Maydon,Madonna,0QZVRL2HC24voXfxWmpHvd,3l9G1G9MxH6DaRhwLklaf5,Madonna,5LhI8m7n8xlQmNe3b7Rwis
