ArtistName,album,album_id,artist_id,track,track_id
Taylor Swift,Lover,1NAmidJlEaVgA3MpcPFYGq,06HL4z0CvFAxyc27GXpf02,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr
Billie Eilish,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH,THE DINER,1LLUoftvmTjVNBHZoQyveF
Myles Smith,Stargazing,3VNxRarx9HUI5w7DHv0TBj,3bO19AOone0ubCsfDXDtYt,Stargazing,3Vr3zh0r7ALn8VLqCiRR10
Kendrick Lamar,euphoria,32bR4LcEc1PvJEhaKoo4ZN,2YZyLoL8N0Wb9xBt1NhZWg,euphoria,77DRzu7ERs0TX3roZcre7Q
Mark Ambor,Belong Together,3PlCMwyq6nuQYtoYproV1o,11p2E654TTU8e0nZWBR4AL,Belong Together,5uQ7de4EWjb3rkcFxyEOpu
Billie Eilish,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH,BITTERSUITE,7DpUoxGSdlDHfqCYj0otzU
Dasha,What Happens Now?,40HsqPqeSR9Xe3IyAJWr6e,7Ez6lTtSMjMf2YSYpukP1I,Austin,2uqYupMHANxnwgeiXTZXzd
