ArtistName,album,album_id,artist_id,track,track_id
Billie Eilish,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH,THE DINER,1LLUoftvmTjVNBHZoQyveF
Kendrick Lamar,euphoria,32bR4LcEc1PvJEhaKoo4ZN,2YZyLoL8N0Wb9xBt1NhZWg,euphoria,77DRzu7ERs0TX3roZcre7Q
Taylor Swift,Lover,1NAmidJlEaVgA3MpcPFYGq,06HL4z0CvFAxyc27GXpf02,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr
Billie Eilish,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH,BITTERSUITE,7DpUoxGSdlDHfqCYj0otzU
Harry Styles,Harry's House,5r36AJ6VOJtp00oxSkBZ5h,6KImCVD70vtIoJWnq6nGn3,As It Was,4Dvkj6JhhA12EX05fT7y2e
Mark Ambor,Belong Together,3PlCMwyq6nuQYtoYproV1o,11p2E654TTU8e0nZWBR4AL,Belong Together,5uQ7de4EWjb3rkcFxyEOpu
Dasha,What Happens Now?,40HsqPqeSR9Xe3IyAJWr6e,7Ez6lTtSMjMf2YSYpukP1I,Austin,2uqYupMHANxnwgeiXTZXzd
