,ArtistName,artist_id,album,album_id,track,track_id
37,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,1NAmidJlEaVgA3MpcPFYGq,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr
38,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,BITTERSUITE,7DpUoxGSdlDHfqCYj0otzU
39,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Harry's House,5r36AJ6VOJtp00oxSkBZ5h,As It Was,4Dvkj6JhhA12EX05fT7y2e
40,Mark Ambor,11p2E654TTU8e0nZWBR4AL,Belong Together,3PlCMwyq6nuQYtoYproV1o,Belong Together,5uQ7de4EWjb3rkcFxyEOpu
41,Dasha,7Ez6lTtSMjMf2YSYpukP1I,What Happens Now?,40HsqPqeSR9Xe3IyAJWr6e,Austin,2uqYupMHANxnwgeiXTZXzd
42,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Madonna,0QZVRL2HC24voXfxWmpHvd,Madonna,5LhI8m7n8xlQmNe3b7Rwis
43,Oscar Maydon,3l9G1G9MxH6DaRhwLklaf5,Madonna,0QZVRL2HC24voXfxWmpHvd,Madonna,5LhI8m7n8xlQmNe3b7Rwis
44,Tate McRae,45dkTj5sMRSjrmBSBeiHym,greedy,3UOV8XvCwMKaATRNXrYCjN,greedy,3rUGC1vUpkDG9CZFHMur1t
45,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,"Good Luck, Babe!",1WAjjRMfZjEXtB0lQrAw6Q,"Good Luck, Babe!",0WbMK4wrZ1wFSty9F7FCgu
46,Taylor Swift,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,Down Bad,2F3N9tdombb64aW6VtZOdo
47,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,18NOKLkZETa4sWwLMIm0UZ,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA
48,Playboi Carti,699OTQXzgjhIYAHMy9RyPD,UTOPIA,18NOKLkZETa4sWwLMIm0UZ,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA
49,Feid,2LRoIwlKmHjgvigdNGBHNo,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,LUNA,7bywjHOc0wSjGGbj04XbVi
50,ATL Jacob,7jAs1uPnpfNmT6e5qtEPxq,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,LUNA,7bywjHOc0wSjGGbj04XbVi
51,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,AM,78bpIziExqiI9qztvNFlQu,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n
52,Myles Smith,3bO19AOone0ubCsfDXDtYt,Stargazing,3VNxRarx9HUI5w7DHv0TBj,Stargazing,3Vr3zh0r7ALn8VLqCiRR10
53,ILLIT,36cgvBn0aadzOijnjjwqMN,SUPER REAL ME,6irebIc6UO8fN0jl4UlzBS,Magnetic,1aKvZDoLGkNMxoRYgkckZG
54,Benson Boone,22wbnEMDvgVIAGdFeek6ET,Fireworks & Rollerblades,168CdR21lfn0TTyw1Pkdcm,Slow It Down,51eSHglvG1RJXtL3qI5trr
55,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Stick Season,50ZenUP4O2Q5eCy2NRNvuz,Stick Season,0mflMxspEfB0VbI1kyLiAv
56,Mitski,2uYWxilOVlUdk4oV9DvwqK,The Land Is Inhospitable and So Are We,2Cn1d2KgbkAqbZCJ1RzdkA,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3
57,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,I Love You.,4xkM0BwLM9H2IUcbYzpcBI,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6
58,Taylor Swift,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,Guilty as Sin?,0W0iAC1VGlB82PI6elxFYf
59,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,Strange Trails,4sD1qg4jwTZR4mvR4Iflk5,The Night We Met,3hRV0jL3vUpRrcy398teAU
60,Luis R Conriquez,0pePYDrJGk8gqMRbXrLJC8,Si No Quieres No,6WkOBnYkj6y5iSr14uhUZF,Si No Quieres No,1C84d9abZVKWHT2YYpoean
61,Neton Vega,6pV5zH2LzjOUHaAvENdMMa,Si No Quieres No,6WkOBnYkj6y5iSr14uhUZF,Si No Quieres No,1C84d9abZVKWHT2YYpoean
62,Taylor Swift,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,Who’s Afraid of Little Old Me?,36t6frENUtCYKuZus6aYDO
